0.5	0.5	0.5	0.5	0.5

0.227	0.509	0.5	0.5	0.388

0.3	0.509	0.5	0.5	0.451

0.355	0.509	0.5	0.5	0.482

0.477	0.509	0.5	0.5	0.5

0.664	0.509	0.5	0.5	0.5

0.758	0.509	0.5	0.5	0.5

0.867	0.509	0.5	0.5	0.5

0.945	0.509	0.5	0.5	0.5

1	0.509	0.5	0.5	0.5

0.508	0.0547	0.5	0.5	0.5

0.508	0.148	0.5	0.5	0.5

0.508	0.211	0.5	0.5	0.5

0.508	0.367	0..5	0.5	0.5

0.508	0.633	0.5	0.5	0.5

0.508	0.82	0.5	0.5	0.5

0.508	0.914	0.5	0.5	0.5

0.508	1	0.5	0.5	0.5

1	1	0.5	0.5	0.5

0.0234	0.0391	0.5	0.5	0.131

0.508	0.508	0.195	0.5	0.5

0.508	0.508	0.32	0.5	0.5

0.508	0.508	0.648	0.5	0.5

0.508	0.508	0.758	0.5	0.5

0.508	0.508	0.82	0.5	0.5

0.508	0.508	0.93	0.5	0.5

0.508	0.508	1	0.5	0.5

1	1	1	0.5	0.5

0.0391	0.0547	0.0391	0.5	0.133

0.508	0.508	0.508	0.859	0.5

0.508	0.508	0.508	0.18	0.5

0.508	0.508	0.508	0.211	0.5

0.508	0.508	0.508	0.32	0.5

0.508	0.508	0.508	0.414	0.5

0.508	0.508	0.508	0.633	0.5

0.508	0.508	0.508	0.711	0.5

0.508	0.508	0.508	0.852	0.5

0.508	0.508	0.508	0.914	0.5

0.508	0.508	0.508	1	0.5

0.0859	0.0703	0.0703	0.0859	0.136

1	1	1	1	0.5

0.0391	1	1	1	0.131

0.0234	0.859	1	1	0.136

0.0234	0.0859	0.0391	1	0.136

0.0234	0	0.0391	1	0.131

0.0234	1	0.0391	0.0703	0.134

0.0234	1	0.539	0.0703	0.134

0.0234	1	1	0.0703	0.5

1	1	1	0.0703	0.5

1	1	1	0.523	0.869
